"rid", "binaryID"
13063,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000001
12751,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000100000
13549,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000100001
13544,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000101100
13551,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000101101
12295,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001100000
13652,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001100001
12277,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000000000
13185,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000000001
13156,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000000110
13170,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000000111
11067,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000000000000
13042,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000000000001
12752,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001000000
13555,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001000001
13548,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001011010
12296,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011000000
13651,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011000001
12278,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000000000000
13158,100000000100010000000000000000000000000000000010000000000000000000000000000000000100000000001100
11068,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000000
13053,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000001
12533,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000010
13397,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000011
12753,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000000
12884,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000010
12885,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000011
13650,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000
13166,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000000011000
13171,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000000011001
11069,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000000
13399,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000001
13072,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000010
13081,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000011
12754,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000100000000
12297,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001100000000
13649,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001100000001
13355,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000000000000000
13356,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000000000000001
12755,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001000000000
13558,100000000100010000000000000000000000000000000010000000000000000000000000000000000000000001000000001
12298,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011000000000
13648,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011000000001
13095,100000000100010000000000000000000000000000000010000000000000000000000000000000000011000011000000010
13041,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000
13369,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000000001
13064,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000000010
13357,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000000000011
12756,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000000000
12883,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000000001
13744,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010000000010
12299,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000000
12300,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000001
13099,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000010
13093,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000100
13094,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110000000101
13040,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000
